sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_affordable_is_produce_in_your_neighborhood?,lat,lon
"""6417141479768064""","""4830305831616512""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-05 16:13:25.856000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.0997429,125.6135693
"""6417690849705984""","""4761927421001728""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-18 16:24:28.990000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0839805,125.6122687
"""6417971196985344""","""6469846420160512""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-02-14 13:22:20.663000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,affordable,6.0652884,125.1456416
"""6419763909623808""","""6180071314292736""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-18 21:42:19.985000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,very_affordable,7.0662271,125.6023898
"""6419879340015616""","""6551336373977088""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-03-14 00:08:25.885000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,affordable,7.1351679,124.8395052
"""6420039223738368""","""5635399214956544""","""4587820012273664""","""6275302370050048""","""5897368358617088""",2019-02-18 23:31:22.850000+00:00,"""5942595656089600""",ii_tl-ph_food-security-2,unaffordable,10.6944233,122.5338722
"""6420823294345216""","""6369144259739648""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-01-21 16:02:20.153000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,very_affordable,7.2663555,125.662981
"""6421155884826624""","""6028645334253568""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-03-14 01:38:20.420000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,affordable,8.5903594,123.3434659
"""6421852220030976""","""6506230723903488""","""4587820012273664""","""6543487551930368""","""5897368358617088""",2019-01-29 01:19:19.581000+00:00,"""4594035316490240""",su_tl-ph_food-security-2,affordable,6.9515573,121.9592269
"""6421868577816576""","""6320746273964032""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-02-13 17:19:24.669000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,affordable,7.0925087,125.6186032
"""6422476886114304""","""5750845670948864""","""4587820012273664""","""5535939327688704""","""5897368358617088""",2019-02-13 21:28:19.842000+00:00,"""5014633846931456""",southern-ph-tl_food-security-2,unaffordable,7.10914,125.6183933
