sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_affordable_is_food_in_your_neighborhood?,lat,lon
"""4882758615695360""","""4818069138440192""","""4539560216231936""","""4757236758872064""","""5897368358617088""",2019-04-02 06:44:24.830000+00:00,"""4991331938074624""",mg_tl-ph_food-security-1,very_affordable,6.9233054,125.1920091
"""4882983188168704""","""6523217978064896""","""4539560216231936""","""4757236758872064""","""5897368358617088""",2019-02-04 18:09:24.076000+00:00,"""4991331938074624""",mg_tl-ph_food-security-1,very_affordable,7.14682156709908,125.66196600496392
"""4883306099245056""","""5202871249272832""","""4539560216231936""","""6657161243394048""","""5897368358617088""",2019-02-13 02:16:19.800000+00:00,"""5950956179030016""",su-ph-tl_tl-ph_food-security-1,affordable,6.9461675,122.0994103
"""4883354957643776""","""6680251696414720""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-03-13 00:08:24.780000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,affordable,7.1530483,125.656875
"""4883355415871488""","""5922172486811648""","""4539560216231936""","""4971906765684736""","""5897368358617088""",2019-02-24 17:26:23.774000+00:00,"""4776233399222272""",su_tl-ph_food-security-1,affordable,6.9213632,122.0525858
"""4883724081561600""","""5838809246728192""","""4539560216231936""","""4757236758872064""","""5897368358617088""",2019-03-05 04:18:30.317000+00:00,"""4991331938074624""",mg_tl-ph_food-security-1,affordable,7.2309093,124.2562782
"""4883796890484736""","""5647324363620352""","""4539560216231936""","""4757236758872064""","""5897368358617088""",2019-04-02 08:02:21.628000+00:00,"""4991331938074624""",mg_tl-ph_food-security-1,unaffordable,7.1053153,124.8200645
"""4884024671600640""","""6390322447777792""","""4539560216231936""","""5499992699568128""","""5897368358617088""",2019-01-20 22:41:24.680000+00:00,"""6360746290053120""",dv_tl-ph_food-security-1,affordable,7.0540408,125.5742493
"""4884266178576384""","""6668594475696128""","""4539560216231936""","""6657161243394048""","""5897368358617088""",2019-03-12 22:05:18.744000+00:00,"""5950956179030016""",su-ph-tl_tl-ph_food-security-1,affordable,6.932308,122.0873111
"""4884830699388928""","""5698167389552640""","""4539560216231936""","""4757236758872064""","""5897368358617088""",2019-01-08 02:54:19.961000+00:00,"""4991331938074624""",mg_tl-ph_food-security-1,affordable,7.204825,125.4457281
"""4885034323410944""","""5750945891745792""","""4539560216231936""","""5499992699568128""","""5897368358617088""",2019-03-19 02:29:26.946000+00:00,"""6360746290053120""",dv_tl-ph_food-security-1,affordable,,
"""4885535370772480""","""6504675803136000""","""4539560216231936""","""5499992699568128""","""5897368358617088""",2019-03-17 17:56:40.906000+00:00,"""6360746290053120""",dv_tl-ph_food-security-1,affordable,7.0657766,125.6148647
"""4885840201252864""","""6256718684094464""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-01-16 00:48:21.879000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,affordable,7.0559,125.5752067
"""4886128298557440""","""6008045554368512""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-03-12 22:29:23.840000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,affordable,8.97212,125.4395556
"""4886444747259904""","""5443316298547200""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-02-12 23:06:19.516000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,affordable,7.0935958,125.6273493
"""4887128813076480""","""6657088593854464""","""4539560216231936""","""4971906765684736""","""5897368358617088""",2019-02-25 12:19:19.691000+00:00,"""4776233399222272""",su_tl-ph_food-security-1,affordable,7.10156,122.24705
"""4888907105697792""","""6339287429677056""","""4539560216231936""","""4511298006024192""","""5897368358617088""",2019-02-18 11:55:19.521000+00:00,"""4651607675371520""",ii_tl-ph_food-security-1,affordable,10.7181702,122.5519457
"""4888998108463104""","""6180904361787392""","""4539560216231936""","""6128733465346048""","""5897368358617088""",2019-03-13 13:56:22.840000+00:00,"""4551626910072832""",mg-ph-tl_tl-ph_food-security-1,affordable,10.3031501,123.8990142
"""4889604803002368""","""5791305269510144""","""4539560216231936""","""6657161243394048""","""5897368358617088""",2019-02-12 22:10:20.595000+00:00,"""5950956179030016""",su-ph-tl_tl-ph_food-security-1,affordable,7.82476,123.4493361
"""4889617842044928""","""5864606977228800""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-03-12 23:35:28.673000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,affordable,7.0844294,125.5938745
"""4890333034840064""","""6213005075283968""","""4539560216231936""","""5499992699568128""","""5897368358617088""",2019-02-18 00:13:19.895000+00:00,"""6360746290053120""",dv_tl-ph_food-security-1,unaffordable,7.1146,125.4908
"""4890355956711424""","""6619541742288896""","""4539560216231936""","""6128733465346048""","""5897368358617088""",2019-01-15 22:50:23.631000+00:00,"""4551626910072832""",mg-ph-tl_tl-ph_food-security-1,affordable,6.1393119,125.1715553
"""4890362624606208""","""6448051864469504""","""4539560216231936""","""4757236758872064""","""5897368358617088""",2019-03-05 00:59:25.466000+00:00,"""4991331938074624""",mg_tl-ph_food-security-1,affordable,7.083563,124.9025598
"""4890747000061952""","""6663110821675008""","""4539560216231936""","""6128733465346048""","""5897368358617088""",2019-01-15 20:38:18.730000+00:00,"""4551626910072832""",mg-ph-tl_tl-ph_food-security-1,affordable,6.7477955,124.5568229
"""4891981365903360""","""6467610877100032""","""4539560216231936""","""6128733465346048""","""5897368358617088""",2019-03-14 10:08:23.217000+00:00,"""4551626910072832""",mg-ph-tl_tl-ph_food-security-1,very_affordable,7.3756471,124.2644213
"""4891994754121728""","""5446010564247552""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-03-12 21:20:20.882000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,affordable,7.1071716,125.6255665
"""4892011360419840""","""6401142563012608""","""4539560216231936""","""5499992699568128""","""5897368358617088""",2019-02-17 16:50:24.291000+00:00,"""6360746290053120""",dv_tl-ph_food-security-1,affordable,7.0904816,125.4931976
"""4892469449719808""","""5903342381301760""","""4539560216231936""","""5499992699568128""","""5897368358617088""",2019-01-20 21:49:23.255000+00:00,"""6360746290053120""",dv_tl-ph_food-security-1,affordable,7.1565208,125.6539667
