sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_satisfied_are_you_with_the_quality_of_the_water?,lat,lon
"""4743434788143104""","""6706228862386176""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-03-13 11:44:18.702000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,satisfied,,
"""4743785898573824""","""6016143783362560""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-02-12 16:56:20.195000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,very_satisfied,10.724573,122.5521343
"""4744045748289536""","""5996840944140288""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-01-16 00:47:19.385000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.136536811316098,125.58902886211568
"""4744064693960704""","""5999724618317824""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-02-26 00:39:27.375000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,very_satisfied,6.0598865,125.1292619
"""4744429005963264""","""6026729646718976""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-03-13 03:17:25.085000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,9.1257289,125.5255483
"""4745332560756736""","""6021607862566912""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-01-15 23:18:23.219000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,dissatisfied,10.6868867,122.5100211
"""4745414664257536""","""5966731262558208""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-02-12 17:39:27.515000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0927668,125.6111151
"""4745552488038400""","""6744836424073216""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-03-23 04:26:19.444000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,7.1846854,124.5324675
"""4746140344909824""","""6332195666919424""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-03-25 16:50:22.649000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,very_satisfied,6.0814154,125.1405937
"""4746403411656704""","""6211164649291776""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-03-26 07:59:21.442000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,9.1783277,125.5314095
"""4746548292354048""","""6054346359832576""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-02-23 05:37:18.514000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,very_satisfied,7.2032794,124.2321152
"""4747547014856704""","""5638183750467584""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-02-13 04:03:19.206000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,satisfied,10.7171567,122.5470267
"""4747919963979776""","""6744482550644736""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-02-26 07:59:23.369000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,5.9816321,125.1130768
"""4748014444871680""","""6410734172897280""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-28 17:06:18.695000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,7.1380297,125.5881854
"""4748661041922048""","""6303946798792704""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-03-12 16:47:20.382000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,very_satisfied,7.0432632,125.5374797
"""4748820841758720""","""5781300663287808""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-02-13 10:33:20.348000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0662683,125.5678066
"""4748965553635328""","""6129938090426368""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-02-25 23:02:25.020000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.2853646,125.6868847
"""4749038457978880""","""4818069138440192""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-03-23 05:02:20.389000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,very_satisfied,6.9232538,125.1920044
"""4749408815022080""","""5291213532954624""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-03-26 07:11:23.266000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,very_dissatisfied,14.6222448,121.1977025
"""4749618468356096""","""4954633355132928""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-01-15 23:11:26.782000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,very_satisfied,,
"""4749814661120000""","""5666135074668544""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-25 16:11:21.125000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,7.1146228,125.6464958
"""4749817425166336""","""6171359983960064""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-01-28 23:37:21.022000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.1330183,125.6773567
"""4750143606751232""","""5345738771922944""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-03-23 04:53:22.138000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,7.1790457,124.2257736
"""4750432075251712""","""6293062907068416""","""5631203463921664""","""6272895309316096""","""5897368358617088""",2019-01-23 05:32:25.162000+00:00,"""6067082355539968""",su_tl-ph_water-&-sanitation-2,very_satisfied,6.9341117,121.9998178
"""4750621807738880""","""6195341122600960""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-03-25 16:14:21.448000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,6.7599695,125.3509247
"""4750706600837120""","""5907635515686912""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-02-13 00:12:25.219000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0703264,125.5504872
"""4750710778363904""","""5797027445211136""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-01-29 15:54:22.785000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,very_satisfied,7.061197,125.5992726
"""4752989816356864""","""6135892798341120""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-01-15 22:54:20.608000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0754318,125.6107612
"""4753187904946176""","""6074630626344960""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-01-01 01:52:21.088000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.0827883,125.6252733
"""4753321580560384""","""5863107945562112""","""5631203463921664""","""6272895309316096""","""5897368358617088""",2019-03-20 02:47:21.097000+00:00,"""6067082355539968""",su_tl-ph_water-&-sanitation-2,very_dissatisfied,6.9235624,122.0440351
"""4753360222683136""","""6162549349285888""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-03-13 03:35:25.061000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,dissatisfied,10.7004091,122.5617811
"""4753811878969344""","""5948125782999040""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-25 23:59:18.576000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,7.0485364,125.5665162
"""4754325672820736""","""5962434483322880""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-02-26 04:39:19.490000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,6.3419803,124.7235774
"""4755538941313024""","""6070529867907072""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-03-25 20:59:19.267000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,8.6002365,123.3535634
"""4755708182528000""","""6419554714517504""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-02-23 14:19:19.026000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,7.2211375,124.2342044
"""4755804223700992""","""6496571833188352""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-02-13 15:00:24.383000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0474048,125.5495767
"""4756049056759808""","""6604636951674880""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-03-12 16:02:25.381000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0730024,125.6009209
"""4757548449136640""","""6555017936896000""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-03-26 04:44:20.721000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,7.8498928,123.4605501
"""4757656680005632""","""5045661571481600""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-01-29 12:26:21.286000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,satisfied,6.9300707,122.0430255
"""4757767795507200""","""6323600963403776""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-02-12 23:46:23.722000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,satisfied,10.6979195,122.5404226
"""4757942706372608""","""5987200724369408""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-02-26 00:30:26.260000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,satisfied,6.9478857,122.1149168
"""4758376229634048""","""6501763597205504""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-02-25 21:48:23.717000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,6.1002575,125.1966169
"""4758733008666624""","""6422863030517760""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-03-13 01:56:21.022000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0720737,125.6141055
"""4759294459248640""","""6303807340281856""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-25 16:19:24.565000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,very_satisfied,7.0624646,125.5580656
"""4759472460267520""","""6336868746526720""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-03-26 04:08:24.828000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,6.9148371,122.0622604
"""4760510069211136""","""5689749429813248""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-25 20:13:19.950000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,7.2077316,124.2298258
"""4760700167651328""","""5909030453116928""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-01-29 02:23:23.132000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,6.047465,120.9963317
"""4760761772539904""","""6116014275166208""","""5631203463921664""","""6272895309316096""","""5897368358617088""",2019-03-20 01:23:21.830000+00:00,"""6067082355539968""",su_tl-ph_water-&-sanitation-2,satisfied,6.658804,122.1385159
"""4761008029564928""","""6611790374895616""","""5631203463921664""","""6272895309316096""","""5897368358617088""",2019-01-23 06:20:19.014000+00:00,"""6067082355539968""",su_tl-ph_water-&-sanitation-2,satisfied,6.9234301,122.0908492
"""4761179903754240""","""5041728383877120""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-02-25 23:26:24.359000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.04641,125.5024708
"""4761514911203328""","""5747277014499328""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-02-25 22:33:21.703000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,6.9141462,122.0528584
"""4761585316790272""","""6382659871703040""","""5631203463921664""","""4617720517623808""","""5897368358617088""",2019-02-10 02:36:19.199000+00:00,"""5236740799332352""",ls_tl-ph_water-&-sanitation-2,dissatisfied,7.9943003,124.2541023
"""4761743961096192""","""6744836424073216""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-03-26 12:29:22.792000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,7.1847083,124.5324499
"""4761813545648128""","""5904668083355648""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-02-26 00:40:24.493000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,6.0598176,125.1291845
"""4761821321887744""","""4618605054394368""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-28 20:54:20.219000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,7.0782243,125.528344
