sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_safe_is_drinking_water_from_the_tap?,lat,lon
"""5534999672520704""","""6008739648765952""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-03-26 23:02:23.620000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,somewhat_safe,7.1090283,125.6224069
"""5535106946039808""","""5616931303325696""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-03-26 20:56:21.899000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,somewhat_unsafe,7.3282111,125.6569826
"""5536600211587072""","""6554409794273280""","""6395884608684032""","""5143745597014016""","""5897368358617088""",2019-02-26 23:11:24.863000+00:00,"""6419287868702720""",su-ph-tl_tl-ph_water-&-sanitation-3,somewhat_unsafe,6.9556979,121.9556211
"""5536758181658624""","""6166410185146368""","""6395884608684032""","""4684994133884928""","""5897368358617088""",2019-01-02 03:26:19.168000+00:00,"""6309660707520512""",mg-ph-tl_tl-ph_water-&-sanitation-3,very_safe,6.9645868,125.724071
"""5537340153921536""","""6476351265570816""","""6395884608684032""","""5143745597014016""","""5897368358617088""",2019-02-26 17:39:22.161000+00:00,"""6419287868702720""",su-ph-tl_tl-ph_water-&-sanitation-3,somewhat_safe,6.9421043,122.0617964
"""5538140896886784""","""6085020974317568""","""6395884608684032""","""5143745597014016""","""5897368358617088""",2019-02-27 10:35:31.844000+00:00,"""6419287868702720""",su-ph-tl_tl-ph_water-&-sanitation-3,somewhat_safe,,
"""5538199692640256""","""5875763268026368""","""6395884608684032""","""5011006579277824""","""5897368358617088""",2019-02-13 16:50:21.528000+00:00,"""4737466151993344""",ii_tl-ph_water-&-sanitation-3,somewhat_safe,7.1597871,124.2147577
"""5538477783384064""","""5673921061847040""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-02-26 17:29:19.981000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,somewhat_safe,7.2436574,125.6490902
"""5538533966086144""","""5985523560611840""","""6395884608684032""","""5011006579277824""","""5897368358617088""",2019-01-17 00:33:18.658000+00:00,"""4737466151993344""",ii_tl-ph_water-&-sanitation-3,very_safe,7.0071767,125.4919145
"""5538612466679808""","""5485873095245824""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-01-02 01:58:18.532000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,very_safe,7.1081804,125.6336434
